player_id,player_name,bat_hand
622569,"Reyes, Pablo",R
622761,"Mateo, Jorge",R
623168,"Heineman, Tyler",S
623205,"Velazquez, Andrew",S
623507,"Lester, Josh",L
623520,"Bote, David",R
623912,"Ramírez, Harold",R
623993,"Santander, Anthony",S
624413,"Alonso, Pete",R
624414,"Arroyo, Christian",R
624415,"Biggio, Cavan",L
624424,"Conforto, Michael",L
624428,"Frazier, Adam",L
624431,"Trevino, Jose",R
624503,"Gordon, Nick",L
624512,"McGuire, Reese",L
624513,"Nuñez, Dom",L
624523,"Unroe, Riley",L
624585,"Soler, Jorge",R
624641,"Sosa, Edmundo",R
628451,"Ibáñez, Andy",R
630105,"Cronenworth, Jake",L
631222,"De La Cruz, Michael",S
640458,"Mercado, Óscar",R
640459,"Navarreto, Brian",R
640460,"Peterson, Dustin",R
640492,"Azocar, José",R
640902,"Pereda, Jhonny",R
641313,"Anderson, Tim",R
641343,"Bauers, Jake",L
641355,"Bellinger, Cody",L
641432,"Calhoun, Willie",L
641468,"Collins, Gavin",R
641487,"Crawford, J.P.",L
641505,"Davis, Jonathan",R
641511,"Delay, Jason",R
641531,"Dozier, Hunter",R
641555,"Escarra, J.C.",L
641584,"Fraley, Jake",S
641598,"Garver, Mitch",R
641645,"Guillorme, Luis",L
641658,"Hampson, Garrett",R
641680,"Heim, Jonah",S
641779,"Leblanc, Charles",R
641796,"Locastro, Tim",R
641820,"Mancini, Trey",R
641829,"Martin, Jason",L
641856,"McKinney, Billy",L
641857,"McMahon, Ryan",L
641924,"Nottingham, Jacob",R
641933,"O'Neill, Tyler",R
641943,"Palacios, Joshua",L
642020,"Robinson, Chuckie",R
642021,"Robinson, Errol",R
642082,"Sisco, Chance",L
642086,"Smith, Dominic",L
642133,"Tellez, Rowdy",L
642134,"Tenerowicz, Robbie",R
642136,"Thaiss, Matt",L
642137,"Thomas, Cody",L
642165,"VanMeter, Josh",L
642180,"Wade, Tyler",L
642197,"Westbrook, Jamie",R
642201,"White, Eli",S
642215,"Wilson, Weston",R
642336,"Mejía, Francisco",S
642350,"Siri, Jose",R
642451,"Liberato, Luis",L
642708,"Rosario, Amed",R
642715,"Adames, Willy",R
642720,"Didder, Ray-Patrick",R
642727,"Alcántara, Sergio",S
642731,"Estrada, Thairo",R
642851,"Wynns, Austin",R
643217,"Benintendi, Andrew",L
643265,"Cooper, Garrett",R
643289,"Dubón, Mauricio",R
643348,"Hamilton, Caleb",R
643376,"Jansen, Danny",R
643393,"Kemp, Tony",L
643396,"Kiner-Falefa, Isiah",R
643446,"McNeil, Jeff",L
643565,"Tauchman, Mike",L
644374,"Chang, Yu",R
644433,"Tromp, Chadwick",R
645277,"Albies, Ozzie",S
645302,"Robles, Victor",R
645305,"Sánchez, Ali",R
645444,"Herrera, Jose",S
645801,"Ford, Mike",L
646240,"Devers, Rafael",L
647228,"Hall, Adam",R
647304,"Naylor, Josh",L
647351,"Toro, Abraham",S
647378,"Yerzy, Andy",L
649557,"Díaz, Aledmys",R
649966,"Urías, Luis",R
650331,"Díaz, Lewin",L
650333,"Arraez, Luis",L
650391,"Jiménez, Eloy",R
650402,"Torres, Gleyber",R
650489,"Castro, Willi",S
650490,"Díaz, Yandy",R
650559,"De La Cruz, Bryan",R
650859,"Rengifo, Luis",S
650907,"Pinto, René",R
650968,"Pozo, Yohel",R
651016,"Lloyd, Matt",L
655316,"Monasterio, Andruw",R
656024,"Pérez, Carlos",R
656180,"Adams, Riley",R
656185,"Allen, Greg",S
656248,"Bouchard, Sean",R
656305,"Chapman, Matt",R
656308,"Chavis, Michael",R
656388,"Dunand, Joe",R
656413,"Fairchild, Stuart",R
656448,"Garrett, Stone",R
656462,"Gilliam, Isiah",S
656467,"Gittens, Chris",R
656484,"Gray, Tristan",L
656495,"Guthrie, Dalton",R
656537,"Hill, Derek",R
656541,"Hilliard, Sam",L
656555,"Hoskins, Rhys",R
656577,"Jackson, Alex",R
656582,"Joe, Connor",R
656627,"Kolozsvary, Mark",R
656666,"Lugbauer, Drew",L
656669,"Luplow, Jordan",R
656716,"McKinstry, Zach",L
656775,"Mullins, Cedric",L
656811,"O'Hearn, Ryan",L
656821,"Padlo, Kevin",R
656883,"Reetz, Jakson",R
656896,"Rivera, Emmanuel",R
656941,"Schwarber, Kyle",L
656976,"Smith, Pavin",L
657041,"Thomas, Lane",R
657061,"Tucker, Cole",S
657077,"Verdugo, Alex",L
657088,"Wall, Forrest",L
657136,"Wong, Connor",R
657193,"Alvarez, Eddy",L
657247,"O'Keefe, Brian",R
657557,"DeJong, Paul",R
657562,"Dorrian, Patrick",L
657656,"Laureano, Ramón",R
657709,"Papierski, Michael",S
657757,"Sheets, Gavin",L
658668,"Olivares, Edward",R
659359,"Fascia, Zac",L
660162,"Moncada, Yoán",S
660271,"Ohtani, Shohei",L
660294,"Tsutsugo, Yoshi",L
660613,"Hernández, Ronaldo",R
660614,"Gamboa, Arquímedes",S
660634,"Hernández, Yonny",S
660636,"Castillo, Diego A.",S
660644,"Bruján, Vidal",S
660670,"Acuña Jr., Ronald",R
660688,"Ruiz, Keibert",S
660707,"Montero, Elehuris",R
660710,"Durán, Rodolfo",R
660757,"Gonzalez, Oscar",R
660758,"Fabian, Sandro",R
660766,"Yepez, Juan",R
660821,"Sánchez, Jesús",L
660829,"Park, Hoy",L
660844,"Rivas, Leo",S
661388,"Contreras, William",R
661411,"Cedrola, Lorenzo",R
661531,"Serven, Brian",R
661733,"Burt, Max",R
662139,"Varsho, Daulton",L
663330,"Jones, Jahmai",R
663368,"Perkins, Blake",S
663369,"Eierman, Jeremy",R
663457,"Nootbaar, Lars",L
663478,"Davis, Brendon",R
663494,"Torres, Bryan",L
663503,"Marrero, Elih",L
663527,"Nevin, Tyler",R
663536,"English, Tristin",R
663538,"Hoerner, Nico",R
663550,"Cabbage, Trey",L
663584,"Senger, Hayden",R
663586,"Riley, Austin",R
663604,"Lockridge, Brandon",R
663609,"Baker, Luken",R
663611,"Madrigal, Nick",R
663616,"Larnach, Trevor",L
663624,"Mountcastle, Ryan",R
